iter	Logloss
0	0.6509237818
1	0.6152683354
2	0.5856927564
3	0.561926123
4	0.5415291429
5	0.5247684844
6	0.5107630521
7	0.498708224
8	0.4889994056
9	0.4808808843
10	0.4738411686
11	0.4676847876
12	0.462121509
13	0.4574280969
14	0.4534114812
15	0.4504751865
16	0.4477068668
17	0.4453835906
18	0.4434626799
19	0.4417471833
20	0.4400678445
21	0.4391333748
22	0.4380266072
23	0.4371138905
24	0.4362224958
25	0.435527312
26	0.4347842175
27	0.4342685928
28	0.4338016874
29	0.433225487
30	0.4326985617
31	0.4323439222
32	0.431895667
33	0.4315532315
34	0.4312605222
35	0.4310942481
36	0.4308608184
37	0.4305999368
38	0.4303578504
39	0.4301379761
40	0.4300225603
41	0.4299041446
42	0.4297921489
43	0.4296388969
44	0.429525854
45	0.4293783254
46	0.4292769662
47	0.4291659633
48	0.4290978731
49	0.4290152224
50	0.4288924742
51	0.4288206726
52	0.428736709
53	0.428637316
54	0.4285600909
55	0.4285020068
56	0.4284194514
57	0.4283117185
58	0.4282406373
59	0.4281836425
60	0.4281242521
61	0.428073498
62	0.4279938914
63	0.4279362678
64	0.4278607437
65	0.4277740032
66	0.4277137186
67	0.4276479771
68	0.4275901669
69	0.427562343
70	0.4275055754
71	0.427448585
72	0.4274241588
73	0.4273918054
74	0.4273468858
75	0.4273062651
76	0.4272626792
77	0.42723765
78	0.4272123391
79	0.4271683835
80	0.427139844
81	0.4271073775
82	0.4270748457
83	0.4270401111
84	0.4270109065
85	0.426976179
86	0.4269203275
87	0.4268774743
88	0.4268375716
89	0.426801533
90	0.426773365
91	0.4267207322
92	0.4266618095
93	0.4266167282
94	0.4265856636
95	0.4265566407
96	0.4265412786
97	0.4265066111
98	0.4264856617
99	0.4264332952
100	0.4264137323
101	0.426358347
102	0.4263134678
103	0.4262562553
104	0.4261870006
105	0.4261536703
106	0.4261245485
107	0.4260988896
108	0.4260607096
109	0.4259948659
110	0.425947392
111	0.425892381
112	0.4258605054
113	0.4258274084
114	0.4257925443
115	0.4257697897
116	0.4257361117
117	0.4257004112
118	0.4256574974
119	0.4256462795
120	0.4256225458
121	0.4255751786
122	0.4255480196
123	0.4255197759
124	0.425484778
125	0.4254221065
126	0.4253942224
127	0.4253780739
128	0.4253531048
129	0.4253286276
130	0.4252756885
131	0.4252252853
132	0.425193454
133	0.4251343355
134	0.4250907638
135	0.4250661395
136	0.4250124466
137	0.4249655263
138	0.424916002
139	0.4248540566
140	0.4248119472
141	0.4247818818
142	0.4247513655
143	0.424690064
144	0.4246694296
145	0.4246234589
146	0.4245840033
