iter	Passed	Remaining
0	38	38858
1	62	31207
2	90	30143
3	119	29729
4	147	29389
5	171	28484
6	198	28168
7	245	30389
8	270	29759
9	295	29259
10	325	29287
11	351	28956
12	376	28584
13	405	28525
14	451	29663
15	476	29290
16	501	28998
17	533	29107
18	558	28833
19	584	28662
20	628	29307
21	661	29407
22	688	29226
23	717	29159
24	743	29012
25	768	28796
26	794	28642
27	823	28583
28	861	28856
29	892	28860
30	923	28855
31	947	28673
32	973	28539
33	1000	28422
34	1029	28381
35	1056	28288
36	1097	28577
37	1133	28691
38	1157	28531
39	1181	28364
40	1210	28323
41	1241	28314
42	1265	28160
43	1298	28206
44	1344	28533
45	1371	28439
46	1395	28298
47	1424	28247
48	1448	28121
49	1478	28094
50	1510	28109
51	1550	28266
52	1586	28345
53	1613	28259
54	1644	28261
55	1669	28149
56	1694	28036
57	1724	28012
58	1754	27978
59	1866	29235
60	1890	29105
61	1914	28962
62	1940	28863
63	1971	28834
64	2014	28977
65	2039	28855
66	2070	28829
67	2094	28712
68	2120	28607
69	2143	28475
70	2171	28414
71	2206	28441
72	2234	28372
73	2256	28241
74	2285	28188
75	2309	28075
76	2332	27960
77	2355	27840
78	2382	27781
79	2422	27861
80	2448	27781
81	2474	27697
82	2497	27589
83	2520	27488
84	2546	27411
85	2574	27357
86	2612	27414
87	2642	27387
88	2671	27350
89	2695	27253
90	2720	27176
91	2746	27104
92	2776	27081
93	2802	27011
94	2831	26971
95	2869	27021
96	2893	26932
97	2918	26866
98	2941	26773
99	2967	26703
100	2994	26651
101	3021	26597
102	3062	26666
103	3095	26671
104	3121	26606
105	3145	26530
106	3168	26444
107	3198	26416
108	3223	26348
109	3249	26290
110	3284	26308
111	3328	26393
112	3353	26320
113	3379	26264
114	3407	26222
115	3439	26210
116	3464	26144
117	3530	26386
118	3564	26386
119	3591	26341
120	3632	26388
121	3670	26417
122	3713	26475
123	3742	26438
124	3788	26518
125	3814	26460
126	3844	26427
127	3871	26373
128	3893	26290
129	3917	26216
130	3962	26282
131	3999	26296
132	4026	26248
133	4052	26191
134	4076	26119
135	4099	26041
136	4129	26010
137	4155	25958
138	4195	25988
139	4232	25999
140	4256	25928
141	4279	25855
142	4302	25782
143	4334	25767
144	4358	25700
145	4385	25651
146	4422	25660
147	4455	25648
148	4485	25618
149	4506	25539
150	4536	25505
151	4561	25447
152	4587	25394
153	4612	25340
154	4654	25373
155	4686	25354
156	4709	25284
157	4736	25242
158	4760	25178
159	4785	25125
160	4809	25062
161	4837	25023
162	4862	24970
163	4973	25352
164	4999	25299
165	5021	25230
166	5049	25186
167	5084	25178
168	5121	25184
169	5151	25150
170	5180	25112
171	5203	25048
172	5229	25000
173	5253	24936
174	5280	24895
175	5320	24911
176	5351	24881
177	5383	24859
178	5408	24805
179	5433	24752
180	5460	24707
181	5488	24666
182	5516	24626
183	5551	24620
184	5584	24603
185	5611	24558
186	5637	24508
187	5662	24458
188	5694	24435
189	5719	24383
190	5743	24327
191	5782	24336
